Vlan Name;Vlan ID;VNI ID;Connectivity Template;IPv4 Subnet;Virtual Gateway IP;VRF;Switches;
HRB_VL3125_DIALGA02_03;3125;713125;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-70;
HRB_VL3046_ANIMUS_A;3046;713046;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-71;
HRB_VL3047_ANIMUS_B;3047;713047;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-72;
HRB_VL3048_BALTOY;3048;713048;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-73;
HRB_VL3082_CBS_DB;3082;713082;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-74;
HRB_VL3045_IBX_SMARTBILL;3045;713045;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-75;
HRB_VL3049_LUDICOLO00;3049;713049;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-76;
HRB_VL3050_LUDICOLO01;3050;713050;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-77;
HRB_VL3085_MYSQL_DB;3085;713085;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-78;
HRB_VL3091_ORACLE_KONS;3091;713091;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-79;
